App name,Date,Time,Duration
com.android.deskclock,01/01/70,01:00:00,00:00:00
com.android.providers.contacts,01/01/70,01:00:00,00:00:00
com.huawei.hiaction,01/01/70,01:00:00,00:00:00
com.snapchat.android,01/01/70,01:00:00,00:00:00
com.huawei.lbs,01/01/70,01:00:00,00:00:00
com.android.deskclock,01/01/70,01:00:00,00:00:00
com.snapchat.android,01/01/70,01:00:00,00:00:00
com.example.firstapp,01/01/70,01:00:00,00:00:00
com.android.deskclock,01/01/70,01:00:00,00:00:00
com.huawei.lbs,01/01/70,01:00:00,00:00:00
com.android.providers.contacts,01/01/70,01:00:00,00:00:00
com.android.providers.contacts,01/01/70,01:00:00,00:00:00
com.huawei.lbs,01/01/70,01:00:00,00:00:00
com.android.deskclock,01/01/70,01:00:00,00:00:00
com.android.deskclock,01/01/70,01:00:00,00:00:00
com.huawei.hiaction,01/01/70,01:00:00,00:00:00
com.huawei.lbs,01/01/70,01:00:00,00:00:00
com.android.deskclock,01/01/70,01:00:00,12:46:39
com.huawei.filemanager,12/14/23,13:46:39.876000,00:00:22
com.jcdecaux.vls.ljubljana,12/14/23,13:47:02.110000,00:00:27
com.snapchat.android,12/14/23,13:47:29.446000,00:00:48
com.example.android.notepad,12/14/23,13:48:17.855000,00:02:02
com.huawei.filemanager,12/14/23,13:50:20.659000,00:00:08
com.google.android.apps.docs.editors.sheets,12/14/23,13:50:29.384000,00:00:10
com.huawei.android.launcher,12/14/23,13:50:39.564000,00:00:37
com.google.android.apps.docs.editors.sheets,12/14/23,13:51:17.094000,00:00:00
com.google.android.apps.docs.editors.sheets,12/14/23,13:51:17.094000,00:00:17
com.facebook.orca,12/14/23,13:51:34.866000,00:00:10
com.instagram.android,12/14/23,13:51:45.487000,00:02:40
com.huawei.android.launcher,12/14/23,13:54:26.441000,00:02:18
com.instagram.android,12/14/23,13:56:45.219000,00:03:13
com.huawei.iconnect,12/14/23,13:59:59.103000,00:00:01
com.instagram.android,12/14/23,14:00:00.926000,00:00:46
com.google.android.youtube,12/14/23,14:00:47.746000,00:10:27
com.jcdecaux.vls.ljubljana,12/14/23,14:11:14.953000,00:00:25
com.huawei.android.launcher,12/14/23,14:11:40.580000,00:13:46
com.android.gallery3d,12/14/23,14:25:27.524000,00:00:12
com.google.android.youtube,12/14/23,14:25:39.959000,00:05:03
com.snapchat.android,12/14/23,14:30:43.529000,00:00:31
com.google.android.apps.docs.editors.sheets,12/14/23,14:31:15.063000,00:00:13
com.google.android.youtube,12/14/23,14:31:28.441000,00:09:03
com.snapchat.android,12/14/23,14:40:31.643000,00:01:40
com.google.android.youtube,12/14/23,14:42:12.271000,00:19:05
com.snapchat.android,12/14/23,15:01:18.071000,00:03:32
com.instagram.android,12/14/23,15:04:50.171000,00:05:07
com.snapchat.android,12/14/23,15:09:57.704000,00:00:21
com.instagram.android,12/14/23,15:10:18.765000,00:04:07
com.huawei.android.internal.app,12/14/23,15:14:26.458000,00:00:15
com.google.android.youtube,12/14/23,15:14:42.394000,00:00:00
com.google.android.youtube,12/14/23,15:14:42.394000,00:09:59
com.snapchat.android,12/14/23,15:24:41.892000,00:01:13
com.google.android.youtube,12/14/23,15:25:55.574000,00:18:23
com.snapchat.android,12/14/23,15:44:19.423000,00:01:21
com.huawei.android.launcher,12/14/23,15:45:41.406000,00:00:02
com.instagram.android,12/14/23,15:45:43.476000,00:38:13
com.android.deskclock,12/14/23,16:23:56.857000,00:51:31
org.thoughtcrime.securesms,12/14/23,17:15:28.114000,00:00:13
com.linkedin.android,12/14/23,17:15:41.955000,00:00:23
com.snapchat.android,12/14/23,17:16:05.658000,00:00:41
com.instagram.android,12/14/23,17:16:47.371000,00:11:04
com.snapchat.android,12/14/23,17:27:51.505000,00:07:00
com.instagram.android,12/14/23,17:34:51.564000,00:03:19
com.snapchat.android,12/14/23,17:38:11.107000,00:00:33
com.facebook.orca,12/14/23,17:38:44.794000,00:00:05
com.snapchat.android,12/14/23,17:38:50.071000,00:03:57
com.ecosia.android,12/14/23,17:42:47.729000,00:01:13
com.whatsapp,12/14/23,17:44:01.241000,00:00:34
com.facebook.orca,12/14/23,17:44:36.224000,00:00:12
com.snapchat.android,12/14/23,17:44:49.181000,00:01:22
com.instagram.android,12/14/23,17:46:11.774000,00:12:08
com.snapchat.android,12/14/23,17:58:20.303000,00:00:31
com.instagram.android,12/14/23,17:58:51.508000,00:05:12
com.whatsapp,12/14/23,18:04:03.892000,00:00:41
com.google.android.apps.docs.editors.sheets,12/14/23,18:04:45.404000,00:00:11
com.instagram.android,12/14/23,18:04:56.988000,00:01:06
com.huawei.android.launcher,12/14/23,18:06:03.189000,00:00:03
com.instagram.android,12/14/23,18:06:06.966000,00:01:16
com.whatsapp,12/14/23,18:07:23.894000,00:00:36
com.instagram.android,12/14/23,18:08:00.664000,00:00:16
com.snapchat.android,12/14/23,18:08:17.549000,00:01:30
com.whatsapp,12/14/23,18:09:47.903000,00:01:55
com.huawei.android.launcher,12/14/23,18:11:43.827000,00:02:07
com.bereal.ft,12/14/23,18:13:50.915000,00:00:00
com.bereal.ft,12/14/23,18:13:50.915000,00:05:57
com.whatsapp,12/14/23,18:19:48.197000,00:00:12
com.instagram.android,12/14/23,18:20:00.494000,00:14:11
com.snapchat.android,12/14/23,18:34:12.170000,00:00:47
com.instagram.android,12/14/23,18:35:00.033000,00:00:59
com.snapchat.android,12/14/23,18:35:59.646000,00:09:52
deezer.android.app,12/14/23,18:45:52.065000,00:02:12
com.snapchat.android,12/14/23,18:48:04.457000,00:07:01
com.instagram.android,12/14/23,18:55:05.922000,00:09:26
com.huawei.android.launcher,12/14/23,19:04:32.437000,00:03:46
com.snapchat.android,12/14/23,19:08:19.030000,00:00:40
com.instagram.android,12/14/23,19:08:59.528000,00:04:30
com.google.android.youtube,12/14/23,19:13:29.539000,00:30:32
com.snapchat.android,12/14/23,19:44:02.114000,00:18:15
com.android.settings,12/14/23,20:02:17.435000,00:00:16
com.snapchat.android,12/14/23,20:02:33.706000,01:13:13
com.whatsapp,12/14/23,21:15:47.700000,00:00:40
com.crater.bbtan,12/14/23,21:16:28.472000,00:03:20
com.bereal.ft,12/14/23,21:19:48.765000,00:00:30
com.example.android.notepad,12/14/23,21:20:19.056000,00:00:03
com.huawei.android.launcher,12/14/23,21:20:22.906000,00:41:40
com.whatsapp,12/14/23,22:02:02.981000,00:00:10
com.huawei.android.launcher,12/14/23,22:02:13.564000,00:03:38
com.instagram.android,12/14/23,22:05:52.518000,00:00:05
com.huawei.android.launcher,12/14/23,22:05:58.066000,00:27:31
com.snapchat.android,12/14/23,22:33:29.629000,00:04:30
com.bereal.ft,12/14/23,22:37:59.914000,00:00:38
com.snapchat.android,12/14/23,22:38:38.375000,00:03:58
com.crater.bbtan,12/14/23,22:42:37.308000,00:03:17
com.snapchat.android,12/14/23,22:45:55.065000,00:03:59
com.huawei.android.launcher,12/14/23,22:49:54.115000,00:02:03
com.whatsapp,12/14/23,22:51:57.250000,00:00:22
com.snapchat.android,12/14/23,22:52:19.740000,00:13:29
com.android.deskclock,12/14/23,23:05:49.588000,00:00:49
org.thoughtcrime.securesms,12/14/23,23:06:38.655000,00:00:24
com.snapchat.android,12/14/23,23:07:03.420000,00:01:31
com.discord,12/14/23,23:08:35.216000,00:00:29
com.instagram.android,12/14/23,23:09:04.562000,00:04:59
